Indkommende data (fra Arduino Mega 2560 (COM4));;;;;;;;;;
Dataene fra den aktuelle datakilde vises nedenfor, som den er modtaget.;;;;;;;;;;
Aktuelle data;;;;;;;;;;
TIME;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10
13:56:40,88;23,6;56;96;;;;;;;
Datahistorik;;;;;;;;;;
TIME;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10
13:56:40,88;23,6;56;96;;;;;;;
13:56:40,28;23,6;56;96;;;;;;;
13:56:39,67;23,6;56;96;;;;;;;
13:56:39,07;23,6;56;95;;;;;;;
13:56:38,43;23,6;56;96;;;;;;;
13:56:37,83;23,6;56;96;;;;;;;
13:56:37,22;23,6;56;96;;;;;;;
13:56:36,62;23,6;56;96;;;;;;;
13:56:35,99;23,6;56;96;;;;;;;
13:56:35,38;23,6;56;95;;;;;;;
13:56:34,77;23,6;56;95;;;;;;;
13:56:34,17;23,6;56;95;;;;;;;
13:56:33,54;23,6;56;95;;;;;;;
13:56:32,93;23,6;56;95;;;;;;;
13:56:32,32;23,6;56;95;;;;;;;
13:56:31,72;23,6;56;96;;;;;;;
13:56:31,09;23,6;56;95;;;;;;;
13:56:30,48;23,6;56;95;;;;;;;
13:56:29,87;23,6;56;95;;;;;;;
13:56:29,27;23,6;56;95;;;;;;;
13:56:28,63;23,6;56;95;;;;;;;
13:56:28,03;23,6;56;95;;;;;;;
13:56:27,42;23,6;56;95;;;;;;;
13:56:26,82;23,6;56;95;;;;;;;
13:56:26,18;23,6;56;95;;;;;;;
13:56:25,58;23,6;56;96;;;;;;;
13:56:24,97;23,6;56;96;;;;;;;
13:56:24,37;23,6;56;96;;;;;;;
13:56:23,73;23,6;55;95;;;;;;;
13:56:23,13;23,6;55;95;;;;;;;
13:56:22,52;23,6;55;95;;;;;;;
13:56:21,92;23,6;55;95;;;;;;;
13:56:21,29;23,6;55;95;;;;;;;
13:56:20,68;23,6;55;96;;;;;;;
13:56:20,07;23,6;55;96;;;;;;;
13:56:19,47;23,6;55;95;;;;;;;
13:56:18,84;23,6;55;95;;;;;;;
13:56:18,23;23,6;55;95;;;;;;;
13:56:17,62;23,6;55;96;;;;;;;
13:56:17,02;23,6;55;95;;;;;;;
13:56:16,38;23,6;55;95;;;;;;;
13:56:15,78;23,6;55;96;;;;;;;
13:56:15,17;23,6;55;95;;;;;;;
13:56:14,56;23,6;55;95;;;;;;;
13:56:13,93;23,7;55;95;;;;;;;
13:56:13,33;23,7;55;95;;;;;;;
13:56:12,72;23,7;55;96;;;;;;;
13:56:12,12;23,7;55;96;;;;;;;
13:56:11,48;23,6;55;95;;;;;;;
13:56:10,88;23,6;55;95;;;;;;;
13:56:10,27;23,6;55;95;;;;;;;
13:56:09,67;23,6;55;95;;;;;;;
13:56:09,04;23,7;55;95;;;;;;;
13:56:08,43;23,7;55;96;;;;;;;
13:56:07,82;23,7;55;96;;;;;;;
13:56:07,22;23,7;55;95;;;;;;;
13:56:06,59;23,7;55;95;;;;;;;
13:56:05,97;23,7;55;95;;;;;;;
13:56:05,37;23,7;55;95;;;;;;;
13:56:04,76;23,7;55;95;;;;;;;
13:56:04,13;23,7;55;95;;;;;;;
13:56:03,53;23,7;55;96;;;;;;;
13:56:02,92;23,7;55;96;;;;;;;
13:56:02,31;23,7;55;95;;;;;;;
13:56:01,68;23,7;55;96;;;;;;;
13:56:01,08;23,7;55;95;;;;;;;
13:56:00,47;23,7;55;95;;;;;;;
13:55:59,86;23,7;55;95;;;;;;;
13:55:59,23;23,7;56;95;;;;;;;
13:55:58,63;23,7;56;95;;;;;;;
13:55:58,02;23,7;56;96;;;;;;;
13:55:57,41;23,7;56;95;;;;;;;
13:55:56,78;23,7;56;96;;;;;;;
13:55:56,18;23,7;56;96;;;;;;;
13:55:55,57;23,7;56;96;;;;;;;
13:55:54,97;23,7;56;96;;;;;;;
13:55:54,33;23,7;56;95;;;;;;;
13:55:53,73;23,7;56;96;;;;;;;
13:55:53,12;23,7;56;96;;;;;;;
13:55:52,51;23,7;56;96;;;;;;;
13:55:51,88;23,7;56;96;;;;;;;
13:55:51,28;23,7;56;96;;;;;;;
13:55:50,67;23,7;56;96;;;;;;;
13:55:50,06;23,7;56;96;;;;;;;
13:55:49,43;23,7;56;96;;;;;;;
13:55:48,83;23,7;56;96;;;;;;;
13:55:48,22;23,7;56;96;;;;;;;
13:55:47,61;23,7;56;96;;;;;;;
13:55:46,98;23,7;56;96;;;;;;;
13:55:46,38;23,7;56;96;;;;;;;
